Artist Name,Singer ID
015b,id10000
10000_Maniacs,id10001
10_000_Maniacs,id10002
10_Years,id10003
10cc,id10004
112,id10005
12,id10006
12_Stones,id10007
1349,id10008
14_Bis,id10009
17,id10010
1725,id10011
1741,id10012
182,id10013
1828,id10014
1910_Fruitgum_Company,id10015
1927,id10016
1937,id10017
1961,id10018
1974_AD,id10019
1974_ad_pahilo_junema,id10020
1_God,id10021
1st_Retro,id10022
2,id10023
20_Fingers,id10024
2Jam_feat_MC_Junior_JC,id10025
2NE1,id10026
2Pac,id10027
2_Brothers_On_The_4th_Floor,id10028
2_Fabiola,id10030
2_In_A_Room,id10031
2_Pac,id10032
2_Unlimited,id10033
311,id10036
360_gradi,id10037
36_CrazyFists,id10038
38_Special,id10040
3LW,id10041
3_Doors_Down,id10042
3_Feet_Smaller,id10043
3_Inches_Of_Blood,id10044
3oh3_Feat_Katy_Perry,id10045
3rd_Storee,id10046
4,id10047
49,id10048
4_Family,id10049
4_Fun,id10050
4_Him,id10051
4_Non_Blondes,id10052
4_PM,id10053
4_The_Cause,id10054
5000_Volts,id10055
500_And_China_Blue,id10056
50_Cent,id10058
50_Cent_Feat_Justin_Timberlake,id10059
50_Cent_ft_Olivia,id10060
52s,id10061
549,id10062
5_Hi5,id10063
5_Seconds_Of_Summer,id10064
5_voices,id10065
5ive,id10066
5th_Dimension,id10067
69_Eyes,id10068
69ers,id10069
69ers_The,id10070
702,id10071
71,id10072
78_Bit,id10073
808_State,id10074
883,id10075
88_Fingers_Louie,id10076
8_Foot_Sativa,id10077
911,id10078
98_Degrees,id10079
98__Stevie_Wonder,id10080
98_ft_Stevie_Wonder,id10081
99_Posse,id10082
9_To_5_Cast,id10083
ABBA,id10084
ABBA_Tischmusikversion,id10085
ABC,id10086
ACDC,id10087
AC_DC,id10088
AFI,id10089
ANGELES_DEL_INFIERNO,id10090
ATB,id10091
ATC,id10092
AX,id10093
AX__Fedez,id10094
A_Belén_Y_V_Manuel,id10095
A_Bocelli__M_Sanchez,id10096
A_Chorus_Line_Soundtrack_Cast,id10097
A_F_I,id10098
A_Flock_Of_Seagulls,id10099
A_H_Palmer,id10100
A_Ha,id10101
A_J_Fynn,id10102
A_Jag,id10103
A_Jenkins,id10104
A_K_Williams,id10105
A_Little_Mermaid,id10106
A_Parker,id10107
A_Perfect_Circle,id10108
A_R_Rahman__Pussycat_Dolls,id10109
A_Taste_Of_Honey,id10110
A_Teens_ABBA_Teens,id10112
A_Touch_of_Class,id10113
Aage_Eliasson,id10114
Aaliyah,id10115
Aaron_Carter,id10116
Aaron_Goodvin,id10117
Aaron_Lindsey,id10118
Aaron_Lines,id10119
Aaron_Neville,id10120
Aaron_Pritchett,id10121
Aaron_Tippin,id10122
Aaron_Trippin,id10123
Aaron_Williams,id10124
Abel,id10127
Abel_Carl_Friedrich,id10128
Abig_Adolphé,id10129
Abigail,id10130
Aborted,id10131
Aboyan_Gayk,id10132
Abraham_Maxim,id10133
Abraham_Wood,id10134
Abreu_Zequinha,id10135
Absent_Friends,id10136
Absolom,id10137
Absurd,id10138
Abt_Franz,id10139
Abundio_Antonelli,id10140
Abyss_The,id10141
Accept,id10143
Accoustic_Alchemy,id10144
Acda_en_de_Munnik,id10145
Ace,id10146
Ace_Cats,id10147
Ace_Frehley,id10148
Ace_Of_Base,id10149
Achille_Lauro,id10151
Achille_Lauro_ft_Boss_Doms,id10152
Achim_Reichel,id10153
Acid_Death,id10154
Acker_Bilk,id10155
Acoustic_Alchemy,id10156
Acoustic_Version,id10157
Across_The_Universe_Soundtrack,id10158
Ada_Mori,id10159
Adam_Brand,id10160
Adam_Brand_And_The_Outlaws,id10161
Adam_Clayton__Larry_Mullen,id10162
Adam_Clayton__Larry_Mullen_Jr,id10163
Adam_Faith,id10164
Adam_Geibel,id10165
Adam_Green,id10166
Adam_Gregory,id10167
Adam_Gumpelzhaimer,id10168
Adam_Harvey,id10169
Adam_Krieger,id10170
Adam_Lambert,id10171
Adam_Levine,id10172
Adam_Mansell_Orchestra,id10173
Adam_Mansell_Orchestra__The_Broadway_Singers,id10174
Adam_Michna,id10175
Adam_Rener,id10176
Adam_Rickitt,id10177
